Product Name,Product Description ,Manufacturer Name,SKU/Item Number ,MFG Sku ),Color Size Sku,Size Code,Weight (oz),Color 1 Name,Color 2 Name,Color 1 Hex Value,Color 2 Hex Value,Supplier Name ,Customer Price ,GTIN/UPC Code,Search Tags,Front Image,Back Image,Third Image,Fourth Image,Pre-Decorated Item,Max Imprint Colors,Minimum Per Order
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009EBPXS,A03,3.0976,Black,,#1E1E1E,,DELTA APPAREL,2.64,027362012625,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009EBP.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009EBPS,A04,3.4528,Black,,#1E1E1E,,DELTA APPAREL,2.64,027362012601,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009EBP.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009EBPM,A05,3.8848,Black,,#1E1E1E,,DELTA APPAREL,2.64,027362012595,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009EBP.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009EBPL,A06,4.1552,Black,,#1E1E1E,,DELTA APPAREL,2.64,027362012588,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009EBP.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009EBPXL,A07,4.7728,Black,,#1E1E1E,,DELTA APPAREL,2.64,027362012618,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009EBP.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHWXS,A03,3.0976,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,2.64,027362012670,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHW.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHWS,A04,3.4528,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,2.64,027362012656,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHW.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHWM,A05,3.8848,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,2.64,027362012649,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHW.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHWL,A06,4.1552,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,2.64,027362012632,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHW.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHWXL,A07,4.7728,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,2.64,027362012663,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHW.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHXXS,A03,3.0976,ATHLETIC ROYAL HEATHER,,#00528C,,DELTA APPAREL,2.64,027362012724,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHX.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHXS,A04,3.4528,ATHLETIC ROYAL HEATHER,,#00528C,,DELTA APPAREL,2.64,027362012700,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHX.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009HHXM,A05,3.8848,ATHLETIC ROYAL HEATHER,,#00528C,,DELTA APPAREL,2.64,027362012694,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009HHX.png,,,,,,
